aX,aY,aZ,gX,gY,gZ
1.234,-1.222,0.076,46.387,-48.401,169.800
1.176,-1.306,0.000,49.011,-26.001,132.446
1.111,-1.408,0.014,53.345,9.644,87.952
0.958,-1.374,0.125,60.547,53.650,47.363
0.693,-1.217,0.383,80.322,98.572,13.916
0.339,-1.019,0.679,103.149,139.771,-11.414
-0.127,-0.816,1.002,117.493,165.405,-30.334
-0.530,-0.570,1.246,122.375,177.063,-49.744
-0.916,-0.318,1.323,120.728,174.072,-67.749
-1.290,-0.237,1.296,121.155,152.710,-84.900
-1.450,-0.021,1.190,125.610,127.197,-96.741
-1.740,0.105,1.040,133.972,106.506,-80.750
-1.823,0.355,0.912,131.042,91.736,-83.923
-1.927,0.620,0.832,118.042,82.581,-100.891
-2.194,0.825,0.828,99.487,75.867,-111.023
-2.465,0.914,0.831,75.195,61.401,-118.469
-2.577,0.969,0.748,48.889,44.922,-124.512
-2.613,0.928,0.619,32.715,26.062,-123.291
-2.594,0.843,0.485,29.236,3.967,-114.746
-2.493,0.792,0.332,31.555,-17.822,-102.051
-2.324,0.782,0.176,36.194,-38.147,-85.693
-2.181,0.751,0.029,42.053,-56.519,-65.063
-2.052,0.719,-0.114,43.945,-71.045,-44.617
-1.933,0.637,-0.232,41.199,-79.102,-28.687
-1.824,0.507,-0.330,36.072,-81.055,-13.733
-1.750,0.358,-0.424,30.090,-79.529,2.319
-1.758,0.225,-0.487,24.841,-76.904,20.142
-1.793,0.122,-0.520,19.409,-72.571,35.767
-1.838,0.042,-0.531,12.817,-66.345,46.570
-1.861,-0.045,-0.531,5.920,-60.913,52.673
-1.888,-0.167,-0.515,-0.244,-57.495,56.152
-1.908,-0.285,-0.513,-5.432,-54.016,60.242
-1.929,-0.424,-0.516,-8.362,-49.744,65.125
-1.970,-0.551,-0.516,-9.888,-45.105,71.350
-2.048,-0.640,-0.502,-11.108,-39.001,78.857
-2.160,-0.709,-0.447,-11.963,-31.860,84.778
-2.254,-0.764,-0.347,-13.306,-24.109,86.975
