aX,aY,aZ,gX,gY,gZ
-0.979,-0.251,0.766,2.686,-28.137,32.349
-0.867,-0.202,0.731,4.700,-28.625,27.527
-0.773,-0.150,0.702,6.226,-28.503,20.813
-0.706,-0.142,0.679,8.179,-28.259,15.442
-0.645,-0.111,0.659,5.615,-26.428,11.963
-0.600,-0.072,0.661,5.127,-23.743,9.033
-0.564,-0.038,0.671,7.263,-20.935,7.629
-0.533,-0.007,0.687,7.507,-17.822,6.409
-0.528,0.009,0.697,6.409,-14.893,4.639
-0.534,0.010,0.708,4.456,-13.000,1.587
-0.531,0.014,0.715,3.723,-11.414,-0.610
-0.522,0.022,0.709,3.723,-10.437,-1.099
-0.524,0.016,0.695,3.662,-9.766,-0.122
-0.527,0.007,0.684,4.028,-8.484,0.549
-0.530,0.001,0.677,4.639,-6.531,0.793
-0.543,0.004,0.676,5.615,-4.395,1.099
-0.561,0.018,0.683,5.615,-2.136,1.343
-1.052,-0.252,1.473,53.833,142.334,-32.104
-1.243,-0.243,1.521,54.260,139.038,-36.438
-1.435,-0.251,1.603,51.270,134.644,-43.762
-1.690,-0.259,1.693,49.744,126.831,-52.429
-1.862,-0.225,1.813,51.392,119.202,-63.293
-2.015,-0.131,1.864,50.476,106.323,-74.585
-2.125,-0.044,1.849,44.006,85.266,-84.473
-2.125,0.020,1.760,38.086,61.279,-90.088
-2.119,0.010,1.645,40.527,34.851,-90.698
-2.087,0.022,1.517,45.837,10.925,-82.642
-2.049,0.010,1.390,50.781,-9.399,-68.176
-2.003,-0.012,1.274,55.237,-26.855,-53.223
-1.972,-0.020,1.159,58.289,-40.588,-41.626
-1.928,-0.026,1.068,58.838,-51.392,-38.025
-1.888,-0.024,1.005,57.800,-59.937,-39.856
-1.848,-0.035,0.979,57.678,-67.566,-40.222
-1.806,-0.014,0.978,58.594,-74.829,-36.804
-1.755,0.039,0.984,59.387,-81.665,-29.480
-1.707,0.110,1.001,59.326,-89.539,-20.508
-1.668,0.159,0.999,57.373,-98.206,-12.207
-1.623,0.169,0.977,54.016,-108.704,-6.165
-1.549,0.148,0.940,50.232,-119.568,-2.747
-1.443,0.133,0.897,47.791,-128.540,1.160
-1.343,0.138,0.846,45.349,-135.559,5.066
-1.236,0.158,0.802,42.480,-139.404,7.141
-1.143,0.185,0.763,37.842,-141.296,8.850
-1.085,0.194,0.726,31.799,-142.578,11.658
-1.024,0.147,0.714,29.358,-142.456,14.648
-0.983,0.103,0.713,28.809,-141.846,18.982
-0.945,0.089,0.707,29.114,-141.357,23.987
-0.891,0.088,0.694,29.175,-141.174,27.405
-0.842,0.104,0.680,27.405,-140.625,29.297
-0.768,0.117,0.652,23.682,-140.320,30.396
-0.708,0.081,0.619,19.226,-141.052,29.968
-0.621,0.058,0.591,14.099,-140.869,28.076
-0.578,0.047,0.559,8.606,-140.503,27.527
-0.492,0.036,0.536,6.287,-137.756,27.771
-0.438,0.021,0.518,5.371,-134.583,25.635
-0.374,0.016,0.504,3.479,-131.348,21.362
-0.323,0.020,0.485,0.854,-126.465,16.541
-0.253,0.033,0.455,-3.174,-119.446,11.902
-0.173,0.033,0.436,-8.240,-111.084,6.165
-0.122,0.007,0.415,-10.742,-101.807,1.282
-0.081,-0.015,0.404,-11.353,-92.224,-2.136
-0.044,-0.027,0.394,-11.047,-82.275,-3.357
-0.004,-0.047,0.373,-10.986,-72.205,-5.188
0.039,-0.053,0.344,-11.902,-62.378,-10.681
0.096,-0.031,0.313,-14.282,-52.063,-19.592
0.155,0.003,0.273,-18.555,-40.466,-30.457
0.217,0.035,0.241,-24.475,-27.283,-42.908
0.245,0.046,0.224,-30.762,-12.268,-56.213
0.245,0.030,0.223,-37.354,2.747,-70.435
0.227,0.021,0.234,-43.640,18.982,-84.473
0.210,0.024,0.246,-49.927,35.339,-96.680
0.189,0.053,0.256,-55.298,50.598,-109.436
0.202,0.094,0.253,-60.608,64.758,-123.352
0.253,0.162,0.244,-67.139,78.064,-135.986
0.323,0.234,0.224,-73.853,91.370,-147.217
0.423,0.304,0.212,-79.407,105.103,-157.288
0.509,0.342,0.219,-81.116,119.385,-165.771
0.604,0.411,0.204,-83.130,135.681,-170.715
0.708,0.467,0.183,-84.412,152.771,-173.340
0.835,0.537,0.160,-80.444,170.715,-172.485
0.956,0.666,0.186,-70.068,189.514,-163.269
1.036,0.916,0.333,-60.730,208.374,-139.465
0.917,1.138,0.518,-61.279,223.267,-98.755
0.752,1.121,0.823,-73.364,234.131,-49.377
0.569,0.914,1.133,-93.323,242.615,-6.714
0.265,0.584,1.364,-112.549,243.164,24.170
-0.142,0.147,1.588,-120.422,237.549,46.082
-0.594,-0.230,1.771,-115.295,228.210,67.078
-1.065,-0.558,1.944,-95.703,213.318,97.107
-1.578,-0.837,2.077,-72.876,192.017,135.986
-2.003,-1.012,2.118,-57.251,167.603,171.570
-2.226,-1.067,2.104,-47.424,143.738,183.411
-2.266,-1.007,2.023,-39.795,125.122,171.509
-2.190,-0.876,1.907,-35.522,112.122,146.423
-2.132,-0.743,1.780,-35.400,101.868,115.601
-2.109,-0.684,1.694,-37.048,93.384,81.116
-2.128,-0.706,1.648,-42.725,83.313,47.119
-2.130,-0.748,1.584,-48.523,71.716,22.949
-2.112,-0.795,1.513,-47.241,58.044,10.681
-2.024,-0.717,1.427,-40.283,44.006,8.972
-1.883,-0.582,1.351,-30.823,30.518,14.404
-1.744,-0.453,1.270,-21.851,15.442,19.592
-1.609,-0.391,1.183,-14.099,1.343,19.897
-1.481,-0.364,1.109,-8.911,-9.705,17.212
-1.346,-0.309,1.003,-12.085,-16.968,18.921
-1.187,-0.304,0.926,-9.338,-20.142,21.729
-1.069,-0.282,0.851,-3.906,-22.095,26.184
-0.962,-0.245,0.792,1.099,-23.621,32.166
-0.863,-0.226,0.736,7.080,-24.719,35.522
-0.792,-0.199,0.683,10.559,-24.536,35.461
-0.730,-0.139,0.647,10.132,-22.644,30.701
-0.678,-0.082,0.630,7.996,-19.592,21.301
-0.647,-0.064,0.622,4.639,-16.968,10.193
-0.596,-0.067,0.629,1.526,-14.771,0.427
-0.572,-0.052,0.648,1.221,-12.634,-3.357
-0.568,-0.004,0.679,3.296,-10.925,-2.319
-0.560,0.033,0.711,5.371,-9.827,-0.549
-0.566,0.044,0.730,6.470,-9.338,1.099
-0.573,0.047,0.745,7.446,-8.972,2.014
-0.575,0.058,0.760,8.179,-8.240,2.014
-0.587,0.066,0.772,7.324,-7.507,1.099
-0.599,0.064,0.782,5.432,-6.897,-0.977
-0.607,0.063,0.781,3.418,-6.348,-2.563
-0.611,0.057,0.773,1.648,-5.676,-3.479
-0.613,0.038,0.767,0.610,-5.127,-3.967
-0.618,0.019,0.760,0.244,-4.822,-3.052
-0.630,0.008,0.756,0.366,-4.028,-0.610
-0.645,0.001,0.762,-0.061,-2.747,1.099
-0.665,-0.007,0.772,-1.282,-1.160,0.244
-0.677,-0.032,0.789,-1.953,-0.854,-1.648
-0.694,-0.055,0.804,-0.244,-1.831,-0.122
-0.701,-0.042,0.811,3.845,-3.479,5.554
-0.705,-0.010,0.802,7.019,-4.517,11.230
-0.699,0.003,0.785,6.958,-4.822,11.230
-0.693,-0.003,0.765,4.150,-3.967,6.287
-0.668,-0.018,0.752,1.465,-2.625,0.854
-1.012,-0.357,1.601,26.550,94.910,-47.241
-1.113,-0.359,1.471,27.649,80.872,-61.279
-1.135,-0.257,1.347,35.767,72.083,-71.289
-1.148,-0.109,1.251,44.678,69.031,-78.247
-1.203,0.025,1.212,48.462,70.557,-83.191
-1.305,0.096,1.213,47.913,74.402,-86.731
-1.450,0.111,1.264,46.326,76.965,-85.999
-1.636,0.125,1.305,46.021,73.792,-79.895
-1.779,0.155,1.301,47.729,62.439,-72.083
-1.831,0.185,1.240,50.781,45.532,-63.904
-1.850,0.231,1.168,54.565,28.503,-54.871
-1.846,0.284,1.120,57.312,15.381,-45.898
-1.887,0.323,1.081,57.495,5.859,-37.598
-1.962,0.315,1.052,55.420,-1.831,-30.518
-2.017,0.284,1.044,52.307,-9.216,-25.513
-2.060,0.306,1.029,49.072,-16.846,-21.545
-2.080,0.328,1.029,45.227,-25.635,-20.142
-2.040,0.344,1.043,40.222,-35.645,-21.790
-2.014,0.363,1.053,32.349,-47.058,-22.339
-1.952,0.329,1.059,24.841,-60.303,-18.860
-1.901,0.249,1.058,18.677,-74.707,-11.963
-1.863,0.137,1.056,14.343,-89.905,-4.333
-1.811,0.041,1.030,14.465,-104.492,2.258
-1.724,-0.034,1.000,16.418,-117.981,7.874
-1.636,-0.052,0.955,18.188,-128.418,8.484
-1.510,-0.022,0.899,18.433,-134.460,4.822
-1.386,-0.001,0.840,15.991,-138.489,1.465
-1.267,-0.020,0.784,13.367,-141.174,2.502
-1.167,-0.034,0.742,12.024,-142.822,9.033
-1.087,-0.046,0.721,12.878,-143.738,18.372
-1.007,-0.035,0.718,14.038,-143.433,28.015
-0.932,0.005,0.708,13.611,-141.541,35.950
-0.849,0.026,0.689,11.292,-139.343,41.443
-0.758,0.039,0.679,8.118,-135.376,45.654
-0.693,0.026,0.670,7.446,-130.615,48.157
-0.583,0.037,0.642,8.118,-124.634,52.063
-0.518,0.010,0.610,10.620,-117.981,54.321
-0.467,0.001,0.581,14.404,-111.938,52.307
-0.418,0.021,0.570,18.616,-106.934,48.340
-0.383,0.071,0.574,20.447,-102.722,43.030
