aX,aY,aZ,gX,gY,gZ
-0.743,-0.065,-0.115,-118.713,170.898,-52.185
-0.700,-0.096,0.052,-90.393,188.477,-50.354
-0.591,-0.121,0.202,-69.885,195.923,-49.988
-0.457,-0.137,0.277,-61.523,190.369,-50.476
-0.371,-0.122,0.257,-65.125,175.171,-53.345
-0.288,-0.059,0.162,-73.547,160.156,-58.838
-0.188,0.030,0.040,-76.843,153.625,-65.186
-0.051,0.141,-0.066,-68.298,158.630,-68.970
0.100,0.215,-0.118,-46.936,173.767,-65.979
0.174,0.176,-0.039,-19.775,196.716,-55.908
0.355,0.154,0.174,-3.601,225.830,-44.312
0.606,0.190,0.455,-9.766,250.000,-32.593
0.798,0.208,0.607,-40.161,261.047,-16.846
0.927,0.226,0.583,-78.369,258.667,-6.653
0.969,0.264,0.435,-98.999,246.277,-4.639
1.023,0.216,0.271,-86.182,237.305,-3.540
1.131,0.106,0.211,-44.189,239.441,-2.258
1.258,-0.050,0.266,8.118,249.756,-3.296
1.402,-0.149,0.336,54.016,260.864,-5.249
1.513,-0.170,0.454,88.562,268.433,-6.714
1.571,-0.219,0.670,110.474,277.649,-2.380
1.551,-0.352,0.987,113.403,289.124,9.277
1.494,-0.483,1.313,94.238,295.105,20.935
1.395,-0.574,1.555,55.786,289.612,25.452
1.196,-0.511,1.704,11.475,275.635,21.179
1.010,-0.377,1.850,-21.484,259.094,12.634
0.821,-0.224,2.023,-37.048,243.713,3.967
0.628,-0.112,2.220,-38.269,226.318,-2.808
0.482,-0.049,2.401,-28.870,207.336,-6.958
0.412,-0.004,2.538,-15.442,184.448,-9.949
0.396,0.048,2.546,-1.465,150.757,-12.268
0.394,0.048,2.325,13.367,101.440,-12.329
0.388,-0.023,1.933,30.334,41.016,-8.789
0.347,-0.111,1.468,46.021,-13.000,-7.446
0.234,-0.263,1.103,56.274,-46.936,-8.789
0.219,-0.292,0.738,60.242,-54.443,-19.104
0.388,-0.279,0.655,58.167,-33.875,-27.039
0.452,-0.154,0.750,48.950,-19.592,-32.654
0.309,-0.049,0.854,34.668,-15.503,-29.419
0.223,0.069,0.906,15.930,-10.193,-22.766
0.188,0.147,0.907,-2.991,3.479,-9.888
0.221,0.115,0.983,-14.893,22.339,5.005
0.273,0.023,1.113,-22.583,36.194,16.479
0.273,-0.081,1.229,-29.297,40.771,23.743
0.294,-0.165,1.297,-34.180,38.635,26.489
0.309,-0.226,1.308,-34.668,30.396,23.315
0.323,-0.264,1.265,-28.931,18.860,16.174
0.325,-0.274,1.241,-16.968,10.376,7.263
0.324,-0.238,1.234,-3.113,4.761,-1.587
0.308,-0.182,1.227,8.423,-0.793,-7.507
0.278,-0.105,1.172,15.808,-6.042,-10.986
0.266,-0.047,1.119,21.179,-9.827,-11.353
0.249,-0.027,1.076,24.414,-12.451,-9.277
0.247,-0.033,1.033,23.926,-13.245,-5.798
0.251,-0.026,0.981,18.616,-13.000,-2.869
0.241,-0.029,0.928,11.230,-12.024,0.366
0.233,-0.044,0.871,5.188,-8.850,3.357
0.244,-0.079,0.847,2.075,-3.418,5.432
0.251,-0.106,0.859,0.427,2.930,6.165
0.259,-0.119,0.895,-0.854,8.667,5.798
0.243,-0.127,0.948,-0.916,11.414,4.944
0.243,-0.138,1.004,-0.549,12.085,4.089
0.241,-0.126,1.034,-0.732,10.742,3.479
0.829,-0.302,1.795,-27.100,-127.075,2.075
0.991,-0.278,1.852,-46.326,-145.386,4.089
1.151,-0.207,1.847,-68.787,-167.358,7.935
1.297,-0.045,1.744,-87.219,-191.650,13.489
1.373,0.093,1.598,-88.318,-215.027,22.583
1.402,0.145,1.472,-67.078,-237.061,35.217
1.458,0.075,1.351,-32.959,-256.531,46.021
1.520,-0.038,1.209,-0.793,-272.339,52.124
1.531,-0.120,1.077,24.109,-283.447,54.260
1.449,-0.166,1.060,40.833,-286.560,53.528
1.311,-0.149,1.030,45.776,-283.203,53.406
1.179,-0.156,1.032,44.006,-282.654,56.519
1.180,-0.138,1.038,33.142,-282.532,58.594
1.170,-0.025,0.886,11.658,-281.738,62.439
1.031,0.014,0.717,-1.282,-282.898,71.228
0.861,-0.005,0.586,1.404,-278.809,79.895
0.724,-0.111,0.540,16.602,-267.761,82.642
0.747,-0.178,0.613,37.598,-259.216,73.364
0.727,-0.016,0.481,48.462,-256.836,57.922
